"bs","pz_amor","vl_recuperacao","EAD","lgd","COD_OR_REC","COD_tp_garantia","tempo_sobrev1","tempo_sobrev2"
45,230,13653.01,15967.72,0.9150930753,3,2,23,53
24.98,240,74211.41,73126,0,5,2,18,1
1,222,13550.35,12643.91,0.9609076623,3,4,30,53
24.98,236,5097.34,5552.52,0.8953376125,3,4,15,48
1,180,34321.75,34060.55,0,5,2,43,4
24.98,236,16108.81,19384.9,0.9194460637,3,2,14,65
93,236,20283.49,19264.61,0.9353752814,3,2,16,55
29,236,20713.59,13213.84,0.931905487,3,2,7,66
94,180,0,24306.44,0.662110952,4,2,34,39
1,228,13880.77,16754.56,0.9215706053,3,4,39,38
94,200,12000,11264,0,3,4,20,3
24.98,240,65469.57,75134.29,0,4,2,47,13
1,240,0,11546.46,0.7845474727,4,2,46,14
24.98,240,44464.69,50758.63,0,5,2,32,15
1,240,39583.07,45581.75,0,5,2,29,18
24.98,220,13506.03,11390.42,0.9443611386,3,4,18,61
17,240,22730.86,23582.64,0,4,2,31,17
1,200,13381.14,10676.54,0.9195263634,3,4,21,58
24.98,240,92318.87,85760.93,0,5,2,24,6
89,230,13650.78,15975.48,0.925901444,3,2,23,53
24.98,220,10912.31,11390.42,0.953052653,3,4,18,61
1,235,13081.03,13229.55,0.9957043134,3,2,21,54
56,230,13655.11,15975.48,0.9054807743,3,2,23,53
1,224,14435.24,17427.72,0.8636494045,3,2,45,31
94,224,14374.85,18504.62,0.8484167738,3,2,36,40
94,224,14956.45,17852.06,0.8980722673,3,2,17,55
24.98,204,31574.1,31001.36,0,4,2,32,12
24.98,240,140394.35,129808.56,0,5,2,38,6
24.98,239,98153.68,80450.25,0,5,2,30,18
24.98,204,36178.39,33386.32,0,4,2,24,10
93,224,14435.24,15188.35,0.0495847146,3,2,75,1
1,240,0,61218.32,0.8875156568,5,2,34,27
14,240,58564.28,58696.66,0,5,2,28,3
4,180,87527.72,104858.4,0.6892707111,5,2,35,42
52,240,32928.88,41945.76,0.7806042701,4,2,22,44
24.98,204,16028.19,19145.1,0,4,2,31,18
1,200,12997.91,10676.54,0.931158409,3,4,21,58
1,228,24515.68,14117,0.8863285401,3,4,14,60
24.98,240,179092.1,112024.59,1,5,2,7,37
67,236,16101.2,19099.71,0.8628298545,3,2,43,31
5,224,14956.45,17852.06,0.9154556953,3,2,17,55
24.98,204,10880.35,12006.21,0.0937731391,4,3,26,8
94,230,8256.13,9704.33,0.9029113808,3,2,28,52
17,204,13352.74,13502.6,0,4,2,32,1
24.98,240,66912.29,65102.38,0,5,2,18,2
94,240,15475.24,15662.11,0,4,2,40,3
68,218,33532.51,17724.5,0.9266659144,3,4,24,40
1,240,292321.87,256321.46,0.6856866928,1,2,23,49
1,228,15344.8,19863.46,0.8761922646,3,2,29,48
1,220,11464.27,11390.42,0.9415359574,3,4,18,61
24.98,236,20283.48,19199.5,0.9291679471,3,2,16,55
90,221,26187.66,20441.72,0.8765637138,3,4,31,33
18,240,0,59300.62,1,5,2,71,7
64,234,11794.56,14585.61,0.8530531119,3,2,33,41
1,240,166347.81,94798.27,1,5,2,8,66
24.98,240,146368.77,131500.26,0,5,2,24,8
96,240,49429.09,49575.82,0,5,2,44,2
42,180,0,55732.46,1,5,2,61,6
1,222,11976.31,5529.58,0.94012746,3,2,20,50
1,180,6571.26,11845.4,0.8418651966,3,4,19,61
9,240,31570.06,31424.25,0,4,2,42,2
90,221,24874.55,20171.85,0.9105287814,3,4,31,33
1,200,12617.84,10627.66,0.9167530764,3,4,21,58
90,221,26182.16,20270.79,0.9059903437,3,4,31,33
24.98,240,40062.75,38442.27,0,5,2,35,3
1,234,13509.54,14125.48,0.9600764009,3,2,14,60
1,204,0,12797,0.7333008738,4,3,56,22
8,204,0,13640.78,1,4,3,71,5
1,224,22812.73,14890,0.5675043653,3,4,14,60
94,236,21056.87,19214.08,0.960173477,3,2,16,55
24.98,240,25478.96,25021.17,0,4,2,41,2
4,228,12561.69,17172.96,0.9043589457,3,4,38,32
94,216,7221.44,11845.4,0.8421927499,3,4,19,61
4,234,14892.43,16033.36,0.9394113274,3,2,20,60
94,180,84225.39,92221.43,0,5,2,36,6
2,235,6143.76,7941.05,0.2263290119,3,4,58,11
5,240,30642.41,35771.66,1,4,2,51,25
10,234,11790.1,14754.61,0.8601237173,3,2,33,41
1,234,9792.86,12079.76,1,3,2,46,35
70,231,6236.71,9116.17,0.3158629117,3,2,57,21
24.98,240,9235.1,10214.7,0,4,2,35,24
24.98,222,17370.72,18756.74,0.0043824247,3,2,44,8
1,222,7641.54,5537.82,0.9322874344,3,2,17,55
1,236,21302.92,13213.84,0.9327689756,3,2,7,66
76,224,14956.45,17852.06,0.9099112371,3,2,17,55
24.98,240,67363.69,75035.99,0.7498048384,5,2,36,31
1,222,7641.54,5537.84,0.9276577149,3,2,17,55
4,180,0,41525.9,1,5,2,50,1
96,225,19560.93,14750.06,0.9333182373,3,4,22,26
9,234,14828.47,15970.03,0.9448009803,3,2,22,58
24.98,120,32251.09,32971.71,0,5,2,8,11
24.98,119,37682.81,17869.55,0.9659212069,4,2,11,33
94,230,13652.86,15965.84,0.9192125187,3,2,23,53
94,234,13511.14,14124.98,0.9601790587,3,2,14,60
0,222,7641.54,5537.82,0.9282732194,3,2,17,55
24.98,240,54414.96,54230.46,0,5,2,14,1
1,234,11788.52,15013.47,1,3,2,28,46
70,240,27199.25,28949.18,0.7410508724,5,2,35,25
0,119,0,89310.16,0.7913645375,5,2,9,8
53,180,90457.75,86348.06,0,5,2,40,1
1,235,13081.03,13303.49,0.9575908277,3,2,13,62
44,236,16072.78,19301.88,0.9128592655,3,2,14,65
94,236,16072.79,19384.9,0.9032659441,3,2,14,65
1,228,16095.37,18834.01,0.8889625736,3,2,38,33
94,230,7419.46,11425.6,0.894296142,3,4,19,61
1,120,0,48070.24,1,1,2,76,1
44,236,16072.78,19301.88,0.9111853353,3,2,14,65
0,218,28572.13,16761.77,0.9273853537,3,2,29,46
94,224,14940.65,17888,0.8882183587,3,2,17,55
1,222,7641.54,5537.83,0.9277009226,3,2,17,55
24.98,240,112861.73,113548.07,0,5,2,10,1
24.98,240,0,80309.22,0.8797593935,5,2,19,2
47,235,13119.93,13477.52,0.9202130659,3,2,21,60
56,200,8868.32,10630.64,0.8673014983,3,4,21,58
90,221,23392.27,20441.72,0.8550190493,3,4,31,33
93,218,28300.81,24330.89,0,3,4,39,17
94,240,127886.95,121339.97,0,5,2,18,5
24.98,200,0,11264,0.8805379972,3,4,20,11
90,200,9038.74,10630.64,0.8760977702,3,4,21,58
1,235,13081.03,13303.49,0.9419235103,3,2,13,62
24.98,240,47951.26,48568.03,0.0126990944,5,2,22,3
1,225,16828.9,20450.81,1,3,2,41,39
0,234,15558.96,17913.19,0.9579505381,3,4,28,44
56,230,7419.44,11425.6,0.9036251926,3,4,19,61
9,236,16103.56,19600.65,0.9124993304,3,2,17,57
24.98,240,136717.04,152237.39,0.1019483453,5,2,52,3
1,220,12424.85,11382.38,0.9464461738,3,4,18,61
24.98,240,22109.35,20558.61,0,5,2,30,5
68,198,33561.03,17724.5,0.9266659144,3,4,24,40
4,200,10292.63,10630.64,0.8802311056,3,4,21,58
24.98,200,0,11264,0.9621732955,3,4,20,11
24.98,240,70689.9,73031.35,0.6795716212,5,2,23,33
24.98,220,16916.79,11390.42,0.935506329,3,4,18,61
24.98,124,10367.62,9986.73,0,3,2,28,10
24.98,204,12370.19,12047.83,0,4,3,25,3
24.98,218,32912.84,15792.89,0.9114582575,3,4,22,43
1,222,7641.54,5534.23,0.9276538922,3,2,17,55
42,119,26230.08,30252.49,0,5,2,30,12
24.98,240,59420.04,60618.41,0,5,2,39,3
1,234,13507.07,14125.48,0.9600764009,3,2,14,60
94,234,13507.03,14125.48,0.9600764009,3,2,14,60
38,236,21056.84,19214.08,0.960399353,3,2,16,55
2,120,8787.06,17445.58,0.6119595437,5,2,20,50
24.98,240,24271.05,21379.35,0.7758945201,5,2,14,43
24.98,240,69119.64,67516.65,0,5,2,31,2
24.98,204,2283.53,18416.22,0.7282895203,4,3,37,27
1,234,15900.07,19398.43,0.8336983972,3,2,39,35
2,236,3866.27,5666.38,0.8673244646,3,4,45,32
1,230,22513.93,23093.47,1,3,4,29,46
9,240,41941.66,52216.28,0.6522296128,5,2,19,50
46,180,0,53319.12,1,5,2,73,4
94,236,9347.58,11007.91,0.8922220476,3,4,7,64
24.98,119,39984.84,37350.46,0,4,2,14,6
24.98,240,53032.73,51739.43,0,5,2,43,1
2,234,13509.54,14125.48,0.9600764009,3,2,14,60
1,231,7861.67,8874.83,0.11416106,3,2,63,15
1,228,15323.51,16554.08,0.074336357,3,2,63,14
4,230,13653.02,15975.47,0.941510328,3,2,23,53
24.98,240,82565.21,79096.76,0,4,2,14,4
90,221,24468.75,20171.85,0.9180927877,3,4,31,33
1,228,16709.6,18146.77,0.0791970141,3,4,47,24
5,180,46342.93,53180.61,0.1285746816,5,2,63,13
1,204,0,24758.41,1,4,3,60,3
4,220,12464.32,11390.42,0.9383499467,3,4,18,61
1,228,24329.25,14117,0.9090153715,3,4,14,60
32,120,16321.47,34794.29,0.3891243668,5,2,23,10
16,120,23638.91,23060.18,0,5,2,36,3
2,222,13549.34,12653.85,0.9643215306,3,4,30,53
94,228,23170.34,22552,0,4,2,27,5
1,220,13170.43,11382.38,0.9463486547,3,4,18,61
24.98,240,5296.26,27639.69,0.7181612179,5,2,21,32
56,236,21307.06,13213.84,0.9327689756,3,2,7,66
7,236,16072.79,19301.88,0.9287012457,3,2,14,65
1,240,0,19800.96,0,4,2,52,13
1,236,16108.82,19597.4,0.8883953994,3,2,16,63
4,200,8866.53,10623.44,0.9689761509,3,4,21,58
1,231,7834.09,8068.37,0.0290368439,3,2,73,5
13,236,21056.83,19226.13,0.9588887623,3,2,16,55
85,223,15166.3,19682.21,0.87206772,3,2,19,53
1,204,2097.26,36809.04,0.9430232356,5,2,60,8
91,236,16072.78,19301.88,0.9199311155,3,2,14,65
24.98,240,90868.32,56153.78,0.9905904981,5,2,7,41
24.98,180,22624.11,28371.25,0,5,2,33,21
24.98,204,41823.18,41724.09,0,4,2,13,0
94,228,15349.88,18287.57,0.8459992224,3,2,50,27
1,222,7641.54,5534.27,0.9316712051,3,2,17,55
90,228,3541.76,5064.51,0,3,4,58,18
1,228,4392.32,5155.42,0.1480189781,3,4,57,19
43,222,13542.93,12717.01,0.9510238649,3,4,30,53
1,234,14892.43,16025.3,1,3,2,20,60
1,240,0,15214.74,0.918274028,4,2,46,1
24.98,180,41177.64,101204.96,0.7170875214,5,2,31,25
85,234,13512.06,14125.48,0.9600764009,3,2,14,60
24.98,228,28712.3,26869.74,0,3,4,41,18
94,236,9347.58,10987.6,0.8896774546,3,4,7,64
94,230,13177.45,16036.78,0.9119929312,3,2,23,53
24.98,222,11969.11,5537.22,0.9336977761,3,2,20,50
0,240,83882.28,80671.81,0,5,2,59,3
1,234,14257.24,17264.43,0.9412781076,3,4,37,35
24.98,240,100292.14,93579.37,0,5,2,56,6
24.98,240,33157.33,32438.19,0,5,2,14,7
90,221,26176.64,20060.46,0.9387985121,3,4,31,33
65,240,33612.14,36182.2,0,5,2,37,12
14,120,0,30087.28,1,5,2,63,2
24.98,204,48466.13,53279.84,0,5,2,27,3
24.98,240,68091.45,65849.66,0,4,2,20,3
24.98,218,33187.42,15725.63,0.9208203423,3,4,22,43
90,204,26174.19,20620.77,0.9064065018,3,4,31,33
24.98,240,44181.01,49965.59,0,1,2,35,12
1,240,0,218705.09,1,5,2,53,6
13,222,13549.34,12653.85,0.9708112551,3,4,30,53
1,240,0,225220.01,0.7053611162,5,2,35,20
2,228,11801.76,15845.83,0,3,4,62,11
24.98,180,38147.71,38191.67,0.0011510363,5,2,24,0
10,204,0,20885.63,0.7390489514,4,3,40,15
24.98,220,13126.15,11382.38,0.9742733945,3,4,18,61
90,221,26177.03,20171.85,0.929419959,3,4,31,33
70,204,0,8848.64,0.749100692,4,3,21,48
94,240,2195.52,2042.45,0,5,2,35,3
4,230,8256.86,9612.49,0.9035879361,3,2,28,52
37,200,9041.36,10630.64,0.886980464,3,4,21,58
24.98,120,7286.7,9603.26,0,4,2,26,18
24.98,200,0,11257,0.9319916496,3,4,20,3
31,230,8256.14,9618.56,0.8992052864,3,2,28,52
71,240,1303.23,1210.24,0,5,2,40,2
24.98,180,19688.82,22971.99,0.1429205741,5,2,26,9
9,240,0,99351.92,0.6711696883,5,2,42,1
24.98,240,72834.78,51049.91,1,5,2,25,30
25,200,9041.8,10630.64,0.8545233401,3,4,21,58
1,235,13119.93,13302.05,1,3,2,33,48
94,234,9842.56,11338.8,0.8744664338,3,2,53,28
90,221,26176.27,20060.46,0.940026799,3,4,31,33
1,222,7641.54,5537.84,0.932287679,3,2,17,55
0,228,12561.74,15262.45,0.1769512758,3,4,63,7
1,119,46950.36,48415.21,0,5,2,44,1
1,200,12906.38,10623.44,0.9314271084,3,4,21,58
1,235,13119.93,13306.41,1,3,2,16,65
70,235,14445.55,15385.94,0.0611200876,3,2,72,5
24.98,240,47890.71,53990.39,0.1129771428,5,2,53,3
2,228,12750.48,15781.03,0.1920375286,3,4,60,10
68,218,33187.46,17827.17,0.9033570668,3,4,24,40
7,240,0,89808.94,0.7047943229,5,2,34,19
1,234,14892.43,16033.36,0.9831301736,3,2,20,60
24.98,228,28695.15,27013.94,0,3,4,41,18
94,204,11372.18,11439.18,0,4,3,50,4
2,224,14416.11,18240.89,0.8665547569,3,2,36,40
1,228,12750.45,15774.34,0.1916967683,3,4,60,10
52,234,13509.55,14125.48,0.9600764009,3,2,14,60
94,234,13493.09,14307.84,0.9249963656,3,2,14,60
1,222,11968.16,5547.25,0.9309207265,3,2,19,51
24.98,240,95685.2,81865.19,0,5,2,23,13
0,240,0,65981.34,0.7374290658,5,2,37,18
24.98,240,155589.99,153346.84,0,5,2,32,1
93,200,9221.1,10623.44,0.8794222964,3,4,21,58
10,240,0,35208.68,0.7392354563,5,2,46,4
1,234,14892.43,14566.47,0.9646208038,3,2,32,48
16,228,16095.37,18852.03,0.9256748477,3,2,43,28
1,222,7641.54,5537.84,0.9277010531,3,2,17,55
94,240,36561.17,33979.1,0,4,2,22,17
1,228,24278.51,14117,0.8863002054,3,4,14,60
1,222,7641.54,5519.62,0.9163384436,3,2,12,60
89,225,19560.93,14750.06,0.92424302,3,4,22,26
24.98,180,1717.37,2326.14,0.2617082377,5,2,47,9
8,228,6861.76,7863.33,0.1273722456,3,4,60,10
24.98,180,118971.22,87598.77,0,5,2,35,22
56,228,12000.2,18078.22,0.8801994887,3,4,27,43
75,236,21302.92,13213.84,0.9321877668,3,2,7,66
24.98,240,30854.25,29796.51,0,4,2,28,4
90,221,26177.01,20060.46,0.9375622493,3,4,31,33
52,236,16070.24,19288.84,0.9093543209,3,2,14,65
24.98,204,15347.08,14665,0,4,3,17,17
1,218,28572.15,20854.19,0.9695193148,3,2,42,33
1,228,15344.82,19724.67,0.8846490207,3,2,33,44
24.98,240,74340.4,72646.39,0,5,2,28,2
24.98,204,19748.24,19204.33,0,4,3,20,14
24.98,236,21056.82,19238.95,0.9592056739,3,2,17,54
56,220,12664.34,11382.38,0.9377124995,3,4,18,61
90,218,28330.28,24273.24,0,3,4,39,17
24.98,228,27380.16,25680.17,0,3,4,41,18
24.98,240,57561.19,57756.64,0,5,2,42,1
24.98,240,84010.67,93476,0.7158827727,5,2,27,28
24.98,204,10879.93,12149.25,0.1044772311,4,3,23,11
67,204,12154.01,12593.42,0,4,3,32,5
1,228,11796.14,15917.79,0.258933558,3,4,61,12
44,224,14956.45,17852.06,0.9083203843,3,2,17,55
1,240,0,36823.99,1,4,2,60,8
94,230,7420.75,11425.59,0.9054525849,3,4,19,61
24.98,180,55010.65,53702.9,0,5,2,38,3
24.98,230,11141.29,11421.25,0.9059034694,3,4,19,26
25,234,15897.11,20126.57,0.8751113578,3,2,27,47
1,231,7861.28,8976.4,0.1242279756,3,2,60,18
1,236,4627.45,5866.99,0.8979323299,3,4,36,46
2,119,30050.32,44081.16,0.6245362563,5,2,41,26
94,240,65463.24,68429.5,0,5,2,46,17
13,224,14956.45,17852.06,0.9162824906,3,2,17,55
4,240,0,34400.11,1,4,2,60,13
24.98,221,33287.42,31017.9,0,3,4,46,12
1,240,44237.78,56294.78,0.774470721,5,2,47,26
24.98,234,12950.19,18106.08,0.9983905959,3,4,20,52
24.98,228,11253.86,14603.95,0.2293961565,3,4,69,8
93,230,8251.56,9657.11,0.9043347337,3,2,28,52
24.98,224,0,11264,0.9305237926,3,4,20,3
2,200,9034.77,10623.44,0.874916223,3,4,21,58
52,236,3699.63,5684.97,0.8453078908,3,4,43,35
1,230,22386.46,22966.05,0.956825401,3,4,25,50
83,240,21093.25,33501.26,0.1103992469,5,2,22,21
23,218,32451.18,15792.89,0.891283356,3,4,22,43
1,218,28572.13,20779.3,0.9495411299,3,2,42,33
24.98,240,81951.88,79505,0,5,2,19,3
24.98,240,97158.9,96115.83,0,5,2,19,1
0,228,13133.36,17666.66,0.8996352451,3,4,26,44
29,240,134065.01,131389.14,0,5,2,33,9
24.98,222,11977.01,5537.22,0.9336977761,3,2,20,50
70,230,7419.46,11425.6,0.894296142,3,4,19,61
4,230,7419.41,11432.39,0.9237692206,3,4,19,61
1,144,61429,61344.8,0,5,2,47,13
23,218,32352.6,15792.89,0.891283356,3,4,22,43
24.98,218,33885.11,17827.17,0.9326673835,3,4,24,40
2,231,7863.34,8492.9,0.0741278009,3,2,66,12
1,218,28572.13,28937.67,0.0126319776,3,2,59,16
1,240,70963.51,40460.62,1,5,2,34,39
24.98,234,11640.4,18177.79,0.8835898093,3,4,20,52
24.98,222,7645.83,5519.62,0.9125283987,3,2,12,60
1,228,24506.34,14117,0.8835276617,3,4,14,60
75,230,7421.14,11425.6,0.9020734141,3,4,19,61
94,230,8256.86,9612.49,0.8951010612,3,2,28,52
24.98,220,11157.71,11382.38,0.9543206254,3,4,18,61
17,240,0,25563.97,0.7301100184,4,2,37,7
24.98,180,54379.41,65367.87,0,1,2,53,10
24.98,220,16860.19,11441.53,0.999224754,3,4,18,61
4,200,10358.99,10623.44,0.8883779642,3,4,21,58
24.98,240,43086.19,39516.22,0,5,2,14,7
1,222,13549.34,12653.85,0.9629567286,3,4,30,53
24.98,204,49603.12,62447.93,0.2056883231,5,2,37,21
68,218,33258.52,18075.86,0.8479458239,3,4,24,40
70,230,7419.45,11425.6,0.9233318163,3,4,19,61
24.98,240,106405.98,88820.92,0,5,2,15,16
24.98,236,16058.08,19384.67,0.9086437891,3,2,14,65
24.98,120,16621.89,21163.62,0.6453277691,5,2,34,26
85,240,83261.18,91594.65,0,5,2,23,13
56,236,21305.15,13213.84,0.9300400186,3,2,7,66
90,234,11786.76,14698.07,0.8601415016,3,2,34,40
68,218,33408.59,17778.96,0.9142688886,3,4,24,40
4,225,16828.9,19407.58,0.9078102473,3,2,28,52
91,236,16072.63,19301.88,0.9242275882,3,2,14,65
94,220,10480.46,11382.38,0.9377124995,3,4,18,61
4,200,9202.93,10623.44,0.8887629619,3,4,21,58
8,240,0,50887.11,0.7132270064,5,2,44,5
1,180,0,83743.12,0.6538876444,5,2,41,32
85,234,10401.88,17946,0.8722768305,3,4,21,59
24.98,240,26093.7,29449.46,0,5,2,38,9
9,240,41150.92,59032.14,0.7274116059,5,2,16,63
94,180,8972.13,47428.63,0.632298733,5,2,15,54
24.98,225,16826.75,19464.36,0.9111519721,3,2,28,52
22,240,47745.19,46646.11,0,5,2,20,16
2,230,7487.93,11432.39,0.9352663791,3,4,19,61
24.98,222,113011.88,113515.99,0,5,2,14,0
0,240,50540.91,60542.36,0,5,2,30,19
1,222,7641.54,5537.77,0.9282725718,3,2,17,55
65,200,0,11257,0.9631038465,3,4,20,4
24.98,180,235343.67,188517.56,0,5,2,16,16
64,240,47582.5,46859.77,0,4,2,26,6
24.98,240,49142.53,46845.49,0,4,2,21,5
24.98,222,7645.42,5537.83,0.9277009226,3,2,17,55
52,228,13460.01,17543.7,0.2327724482,3,4,56,15
1,235,13081.03,13295.76,0.9527059754,3,2,13,62
26,240,49203.82,43635.28,0,5,2,35,22
1,60,8034.99,18168.19,0,5,2,48,18
1,180,142391.78,108370.65,0.717388234,5,2,15,51
13,240,0,64744.34,0.6990501462,5,2,44,13
24.98,204,13501.76,12322.05,0,4,3,20,17
8,240,11567.76,12639.78,0,4,2,34,17
9,240,41678.13,53199.38,0.7303227028,5,2,14,65
9,240,59426.11,57497.42,0,5,2,43,8
68,218,33475.17,17720.1,0.9276719657,3,4,24,40
46,240,0,54160.92,1,5,2,76,4
68,180,156957.68,179842.36,0,5,2,38,21
1,234,15900.1,19827.67,0.9757127287,3,2,32,42
1,218,32687.66,17899.77,0.8870091627,3,4,24,40
24.98,60,53875.49,50725.79,0,1,2,39,3
24.98,228,28705.36,25298.07,0,3,4,41,18
1,234,14892.43,14913.11,1,3,2,50,30
24.98,240,60267.16,70507.17,0.7018376357,5,2,19,38
2,220,12378.96,11382.38,0.9463486547,3,4,18,61
1,234,14892.43,15231.22,0.0222431296,3,2,61,19
1,228,11892.78,15647.69,0.2399657713,3,4,65,8
24.98,240,279810.59,229571.68,0,5,2,20,15
5,180,0,111965.16,0.246960805,5,2,51,14
24.98,222,11973.36,5529.58,0.94012746,3,2,20,50
90,218,28303.31,24594.63,0,3,4,39,17
1,218,28572.13,29057.18,0.0166929482,3,2,58,17
64,234,13513.41,14117.12,0.9617089038,3,2,14,60
9,240,0,60885.02,1,4,2,69,1
1,225,15207.03,17786.47,0.959893672,3,2,51,29
1,180,36500.99,54442.03,1,5,2,31,40
4,96,0,101432.05,0.58872856,5,2,13,19
86,224,15026.82,17852.06,0.9052266237,3,2,17,55
7,200,9377.81,10623.44,0.8780395051,3,4,21,58
76,240,17791.56,18148.46,0.0196655804,5,2,54,1
1,222,7641.54,5537.83,0.9322875567,3,2,17,55
93,230,13653.02,15965.84,0.9165750127,3,2,23,53
24.98,240,34094.83,33518.47,0,4,2,51,2
4,234,13243.37,16828.77,0.9027017423,3,4,42,30
2,234,11789.62,15177,0.8795427291,3,2,22,52
56,230,7817,11432.38,0.9190763428,3,4,19,61
4,240,12328.53,14542.01,0.1522127959,5,2,58,10
94,222,7641.54,5537.83,0.9304583203,3,2,17,55
1,240,29215.56,36643.1,0.7528657554,5,2,17,32
56,240,0,40061.97,0,5,2,55,21
1,222,7641.54,5537.84,0.9319752828,3,2,17,55
1,240,36710.34,39258.41,0,5,2,15,15
93,224,14961.61,17840.36,0.8907589309,3,2,17,55
1,235,13119.93,13298.44,0.9844162172,3,2,16,65
24.98,222,7645.42,5537.84,0.9276577149,3,2,17,55
24.98,222,7645.83,5537.83,0.9277009226,3,2,17,55
24.98,204,15920.45,14943.34,0,4,3,24,7
1,202,7034.7,17270.79,0.8244868938,3,4,34,46
24.98,120,99080.47,72411.16,0.8832078332,5,2,28,29
18,230,8256.85,9612.49,0.9064467167,3,2,28,52
1,220,11333.44,11382.38,0.9377124995,3,4,18,61
24.98,220,11730.93,11390.42,0.9293915413,3,4,18,61
1,218,28572.13,28977.42,0.0139864073,3,2,60,15
94,234,13512.33,14117.12,0.9617089038,3,2,14,60
94,234,13510.55,14125.48,0.9600764009,3,2,14,60
13,236,17363.41,19288.84,0.9121077265,3,2,14,52
17,222,13550.35,12643.91,0.9665578132,3,4,30,53
24.98,180,117312.37,102288.88,0,5,2,35,10
90,221,26190.41,20340.15,0.8749247179,3,4,31,33
1,230,13653.02,16221.61,0.9055882862,3,2,23,53
1,200,10635.99,10630.64,0.8870002182,3,4,21,58
2,230,13653.02,15965.83,0.9467869819,3,2,23,53
24.98,180,9857.89,9713.3,0,4,2,30,2
24.98,222,11976.31,5529.58,0.94012746,3,2,20,50
4,240,0,117766.19,0.7153734661,5,2,44,19
68,218,33475.73,17720.74,0.9275442222,3,4,24,40
68,218,32886.21,15691.5,0.9175419813,3,4,22,43
22,234,11789.62,12857.66,0.0830664367,3,2,65,9
94,224,14956.45,17840.36,0.8907589309,3,2,17,55
24.98,236,16103.55,17302.91,0.0693155082,3,2,67,7
94,236,21282.2,13213.84,0.9406622148,3,2,7,66
24.98,120,46621.74,42780.84,0,5,2,14,7
82,218,32916.08,15986.38,0.8420661838,3,4,22,43
8,235,13057.85,13202.67,1,3,2,56,25
24.98,240,67802.18,57971.84,0,5,2,42,14
24.98,72,13076.58,19774.13,0.4703771529,1,2,17,31
1,228,9014.77,9109.82,1,3,4,29,41
26,218,32604.95,15792.89,0.891283356,3,4,22,43
1,222,7641.54,5537.83,0.9320184982,3,2,17,55
6,228,13239.34,15565.78,0.1494586201,3,4,63,7
94,225,19560.93,14972.75,0.9010188509,3,4,22,26
1,234,17643.02,17542.11,0.9908922017,3,4,27,53
90,221,26177.25,20110.05,0.9332527766,3,4,31,33
90,218,28303.34,24594.59,0,3,4,39,17
24.98,222,7644.76,5537.83,0.9282733489,3,2,17,55
90,218,28330.28,24273.25,0,3,4,39,17
24.98,222,11945.14,5529.58,0.9374636048,3,2,20,50
1,220,12394.85,11382.38,0.9463486547,3,4,18,61
30,230,8256.85,9612.49,0.9170058955,3,2,28,52
1,218,32767.27,15691.5,0.9175419813,3,4,22,43
24.98,240,73319.64,67168.82,0,5,2,18,8
56,240,32407.61,37433.84,0.7473180807,5,2,40,25
1,240,58123.62,64568.17,0,5,2,31,13
17,200,9351.33,10623.44,0.9107426596,3,4,21,58
1,240,0,56548.86,1,5,2,60,3
24.98,240,25918.03,24863.74,0,4,2,44,5
96,236,9347.58,10962.5,0.894090764,3,4,7,64
94,230,13653.03,15965.84,0.9195056446,3,2,23,53
25,234,11789.48,14391.62,0.8919815837,3,2,39,35
1,218,28572.13,28987.7,0.0143360805,3,2,59,16
1,218,28572.15,29034.4,0.0159207698,3,2,59,16
24.98,180,62220.65,74005.72,0,5,2,25,13
94,240,130728.04,130199.42,0,1,2,56,1
52,236,16109.31,19306.52,0.9146692413,3,2,16,63
1,218,28572.15,29216.54,0.0220556575,3,2,60,15
4,180,0,66242.83,1,5,2,70,5
94,234,13512.17,14117.12,0.9617089038,3,2,14,60
4,224,14961.61,17840.36,0.9328533729,3,2,17,55
93,218,23592.16,20315.87,0,3,4,39,17
90,223,15166.31,16373.58,0.0737328061,3,2,66,6
1,236,3480.36,4955.55,0,3,4,54,21
1,220,11120.8,11382.38,0.9404026223,3,4,18,61
1,240,0,42339.86,0.7592684635,4,2,27,31
24.98,180,5483.87,6473.89,0.0102210643,5,2,46,3
10,235,13026.69,13295.76,0.9648564655,3,2,13,62
1,231,7856.29,9196.75,0.145753663,3,2,55,23
89,225,19560.93,14649.87,0.9387646443,3,4,22,26
90,240,34624.89,63977.76,0.762361913,5,2,11,58
24.98,240,70276.85,73812.98,0,4,2,19,5
24.98,60,125929.44,148179.14,0,1,2,17,12
90,218,33532.6,17724.5,0.9266659144,3,4,24,40
82,218,33568.75,17724.5,0.9266659144,3,4,24,40
93,230,8257.97,9612.49,0.9124774122,3,2,28,52
24.98,204,17197.68,14655,0,4,3,16,20
77,60,4492.78,25297.05,0,5,2,35,20
1,144,3777.91,5922,0.7421462344,3,4,18,60
6,224,14956.45,17840.36,0.9251220267,3,2,17,55
68,218,32756.56,15691.5,0.9175419813,3,4,22,43
0,236,12172.16,12171.33,0.987252831,3,4,19,58
0,240,0,37239.33,1,5,2,68,6
1,230,22688.51,22915.36,0.999256394,3,4,23,52
5,236,3971.32,5743.86,0.8548258488,3,4,46,31
1,240,0,19319.24,0.7566189268,4,2,33,22
24.98,240,23303.63,21712.88,0,4,2,30,17
52,236,3866.24,5394.25,0,3,4,61,16
83,234,11789.63,15177,0.8712525532,3,2,22,52
24.98,240,54733.94,54216.71,0,5,2,19,1
