"bs","pz_amor","vl_recuperacao","EAD","lgd","COD_OR_REC","COD_tp_garantia","tempo_sobrev1","tempo_sobrev2"
24.98,240,65386.68,62923.54,0,1,2,66,3
24.98,240,10285.62,9133.67,0,1,2,110,9
0,240,29552.59,25064.57,0,1,2,125,12
7,240,43587.08,47950.53,0,1,2,97,10
24.98,240,79607.77,61976.78,0,1,2,87,22
58,240,81091.53,56601.86,1,1,2,79,30
0,240,0,36313.18,1,1,2,124,7
24.98,240,30827.3,37523.78,0.7096720828,1,2,73,32
1,240,152647.73,128630.97,0,1,2,106,18
54,240,31980.26,48060.57,0.6834429129,1,2,78,45
24.98,240,68496.43,66103.85,0,1,2,70,3
1,240,11316.34,13973.98,0.1901849008,1,2,122,9
24.98,240,30920.81,31594.86,0,1,2,80,10
22,156,0,9381.26,1,1,3,123,4
7,240,0,73477.21,1,1,2,116,11
24.98,240,63487.68,44482.46,1,1,2,85,25
24.98,240,36055.98,33863.24,0,1,2,83,4
94,240,21781.12,26477.23,0.7113703756,1,2,82,31
24.98,240,42904.57,35056.52,0,1,2,88,16
1,240,0,40826.71,1,1,2,111,22
9,240,61253.7,60866.63,0,1,2,119,1
24.98,239,3.37,15793.11,0.6826333736,1,2,100,17
24.98,240,50854.78,55883.45,0.0648858807,1,2,77,8
24.98,180,40393.13,38476.24,0,1,2,72,4
24.98,240,41425.63,49820.08,0,1,2,90,10
94,240,31976.91,36337.3,0,1,2,90,22
3,240,15097.28,19247.75,0.2156340351,1,2,122,14
3,240,35661.56,57070.22,0.6545431754,1,2,79,55
24.98,116,38408.3,47574.44,0,1,2,81,4
0,240,31377.31,27433.23,0,1,2,83,11
74,240,44571.36,46610.8,0,1,2,111,23
1,180,12998.56,26693.27,0.6846293117,1,2,79,54
0,180,0,27060.44,1,1,2,116,17
24.98,240,91091.5,103275.85,0,1,2,81,18
89,180,22044.44,22236.49,0,1,2,95,2
0,180,47980.94,40883.13,0.6538340038,1,2,78,62
24.98,240,49242.39,48398.38,0,1,2,98,1
91,240,0,50745.08,0.6357094368,1,2,98,40
24.98,240,11078.55,14144.47,0.2167575031,1,2,72,24
54,240,30549.12,30560.28,0,1,2,95,5
0,180,0,6169.98,0.824809922,1,3,97,32
2,240,27709.07,40214.25,0.7256644692,1,2,75,62
24.98,240,34728.97,37541,0,1,2,77,10
1,240,43903.18,71627.85,0.7443937664,1,2,77,59
3,240,0,46891.98,1,1,2,127,3
1,240,0,66815.84,0.6782361434,1,2,74,33
1,240,54216.96,42967.88,0,1,2,105,16
24.98,180,56126.45,49702.24,0,1,2,90,10
24.98,240,52519.95,49860.45,0,1,2,88,4
24.98,240,57622.95,61698.32,0,1,2,86,13
24.98,240,50156.02,61374.03,0.7625669512,1,2,74,38
24.98,240,70919.2,60342.22,0,1,2,80,12
9,71,3410.59,31479.58,0.6855114838,1,2,82,55
24.98,120,3734.44,5141.91,0.2737251333,1,2,74,3
24.98,130,11720.62,28970.66,0.4654794285,1,2,83,35
24.98,240,24050.85,23069.12,0,1,2,89,3
24.98,96,3677.54,5759.25,0.1301663165,1,2,66,6
24.98,240,60705.92,60607.52,0,1,2,103,13
8,240,46728.56,50762.98,0,1,2,87,3
24.98,240,58806.86,71990.59,0.7152379114,1,2,80,32
24.98,86,13408.47,16303.72,0,1,2,87,18
31,240,0,12371.58,0.6356963344,1,2,106,37
24.98,240,92081.42,87592.42,0,1,2,95,4
21,214,22966.6,26135.72,0.121256273,1,2,125,11
1,240,0,36708.7,0.6280824862,1,2,105,22
24.98,180,90869.25,86821.57,0,1,2,72,5
24.98,120,18857.72,17679.86,0,1,2,110,8
0,180,0,82114.57,0.6206098933,1,2,69,1
0,175,0,33689.61,0.3265913448,1,2,112,20
0,192,0,7552.51,1,1,2,131,4
24.98,120,23261.88,19880.03,0,1,2,96,11
24.98,240,13539.21,54975.02,0.6978640251,1,2,87,39
24.98,240,54171.64,66464.44,0,1,2,81,17
0,180,37710.94,40879.15,0,1,2,114,14
24.98,180,54993.34,73686.31,0.0655038212,1,2,88,11
24.98,240,24849.44,23969.35,0,1,2,119,3
1,240,0,32172.42,0.7411451023,1,2,99,1
24.98,168,54996.62,59387.37,0,1,2,74,19
4,240,0,6933.22,0.6490726653,1,2,65,54
27,144,34546.82,34906.91,0,1,2,93,1
2,115,35488.65,35311.41,0,1,2,104,3
24.98,127,48099.55,66126,0.5960807926,1,2,75,32
12,240,0,82232.82,0.7216489931,1,2,74,34
24.98,84,2282.37,2405.46,0.0511710858,1,2,90,18
24.98,240,10453.63,9315.45,0,1,3,98,18
24.98,180,21706.74,22920.46,0,1,2,105,5
2,240,26548.38,30235.38,0.1219432334,1,2,112,11
24.98,240,33451.42,30801.37,0,1,2,104,6
3,240,0,66185.85,0.6638899428,1,2,75,5
24.98,240,8017.45,10347.58,0,1,3,106,18
24.98,180,20180.98,25222.85,0.1835965246,1,2,75,6
1,144,0,4795.31,0.5484463947,4,3,95,7
94,240,38639.68,38694.24,0,1,2,99,2
24.98,240,68641.8,64094.77,0,1,2,75,5
24.98,240,8315.11,13092.07,0.9623737296,1,2,69,47
0,240,0,54132.68,0.6924209022,1,2,85,1
1,240,0,30615.26,0.6638342446,1,2,112,28
68,240,65809.95,64794.8,0,1,2,108,1
40,240,0,154324.25,0.5798233014,1,2,92,6
24.98,240,21419.7,26354.64,0.717190479,1,2,87,32
8,158,7306.49,34893.63,0.6786941039,1,2,70,59
1,240,143614.02,94271.98,0.9749446869,1,2,96,34
24.98,240,73576.93,77571.72,0,1,2,103,7
24.98,240,14055.48,48129.46,0,1,2,89,23
24.98,120,0,6421.25,0,1,3,97,23
24.98,240,17755.87,21143.04,0,1,2,73,13
9,180,0,96557.72,0.4981771784,1,2,92,6
4,180,18459.38,20530.84,0,1,2,76,13
24.98,240,25614.36,25736.87,0.0047600971,1,2,107,0
24.98,240,68142.52,60132.62,0,1,2,79,10
24.98,180,18281.86,22432.53,0.7364864319,1,2,90,28
1,240,0,93706.75,1,1,2,123,12
1,240,31232.02,39195.85,0.2031804387,1,2,122,12
24.98,240,60393.25,71040.23,0.1498725441,1,2,74,9
24.98,240,32021.27,36554.45,0,1,2,72,18
24.98,120,8608.37,4852.67,1,1,3,80,35
24.98,116,16039.38,19131.19,0.1244475644,1,2,98,2
24.98,240,88042.87,100579.68,0,1,2,84,6
2,180,0,74922.42,0.6158022275,1,2,79,54
24.98,180,15065.76,19500.28,0.2274080167,1,2,123,3
2,160,0,23870.99,1,1,2,121,1
24.98,240,85134.04,82585.24,0,1,2,66,2
24.98,240,38650.69,57319,1,1,2,81,43
24.98,240,58836.13,65057.35,0,1,2,71,6
85,240,33969.05,33432.85,0,1,2,93,4
24.98,240,25599.88,22278.6,0,1,2,72,10
24.98,150,15502.45,12360.65,0,2,2,87,10
24.98,132,8915.48,14541.71,0,2,2,63,16
24.98,180,10249.88,13299.74,0,2,2,82,12
0,120,0,43718.36,0.6848322059,2,2,60,60
1,240,0,101210.02,0.7884622472,1,2,63,1
24.98,240,33991.32,33766.46,0,1,2,82,1
1,108,0,10227.65,0.2075916421,2,2,90,18
91,240,127726.81,120030.07,0,1,2,94,8
24.98,204,110775.04,109644.67,0,2,2,59,1
0,180,39635.5,33834.64,0,2,2,101,11
24.98,240,129689.8,100556.19,0,1,2,79,21
24.98,120,4015.61,15892.67,0.3712868712,1,2,73,35
24.98,132,23711.55,47363.97,0.4718841099,2,2,57,43
1,240,22793.01,25965.51,0,1,2,70,20
24.98,120,7343.41,13699.72,0.046002021,2,2,78,14
0,160,68594.85,69726.29,0,1,2,70,6
24.98,180,22025.39,22527.29,0,2,2,57,4
0,120,0,3107.68,1,1,2,114,6
24.98,240,45953.11,49700.83,0,1,2,95,14
2,121,0,13232.23,1,2,2,105,17
24.98,204,17579.26,19821.67,0.1131292167,2,2,56,1
24.98,204,58233.61,58045.43,0,2,2,78,0
24.98,150,40710.94,37969.66,0,2,2,76,5
24.98,96,98880.19,89932.08,0,1,2,69,3
24.98,96,24667.57,44836.86,0,2,2,63,10
24.98,240,50315.24,53560.72,0,1,2,72,2
24.98,168,31402.07,43053.95,0,2,2,84,14
2,120,0,1592.54,1,1,2,106,1
24.98,180,21977.11,21546.53,0,2,2,104,1
24.98,180,15289.64,21052.81,0,2,2,83,15
24.98,150,16570.34,16489.67,0,2,2,88,0
94,96,24304.28,27881.98,0,1,2,59,9
35,240,0,50910.27,1,1,2,118,4
24.98,180,17010.52,21317.09,0,2,2,55,23
